item_id,user_id,country,item_category,brand,price_eur,date_posted,date_sold,shipping_type,likes_count,user_rating
10126,u7511,Netherlands,Tops,Balenciaga,19.75,2024-11-24,2024-12-12,Drop-off,5,4.8
10127,u9561,Germany,Jackets,H&M,51.83,2024-12-16,2025-01-13,Pickup,4,5.0
10128,u6946,Poland,Dresses,Nike,38.69,2025-02-17,,Drop-off,10,4.6
10129,u8527,Poland,Dresses,Adidas,46.87,2024-12-10,,Standard,3,4.2
10130,u5082,Netherlands,Jackets,Gucci,64.51,2025-05-29,2025-06-17,Drop-off,6,4.9
10131,u7272,Netherlands,Jackets,Adidas,49.32,2025-05-05,2025-05-26,Pickup,5,4.3
10132,u3649,Germany,Bags,H&M,18.23,2025-02-21,,Drop-off,6,4.8
10133,u2929,Poland,Sneakers,Nike,8.72,2025-02-08,2025-02-22,Standard,5,3.8
10134,u7841,Netherlands,Dresses,Gucci,67.69,2024-06-07,2024-06-26,Standard,7,4.4
10135,u6469,France,Tops,Nike,21.26,2025-04-20,2025-05-01,Standard,6,4.4
10136,u3125,Netherlands,Sneakers,Balenciaga,58.27,2025-05-19,2025-05-29,Pickup,7,5.0
10137,u9738,Poland,Jeans,Adidas,19.63,2024-02-18,2024-02-23,Pickup,5,3.6
10138,u1685,Netherlands,Dresses,H&M,40.93,2025-07-01,2025-07-25,Pickup,4,4.4
10139,u3014,Germany,Tops,Levi’s,19.23,2024-08-15,2024-09-04,Pickup,6,4.3
10140,u8927,Lithuania,Dresses,Balenciaga,26.12,2025-05-06,,Pickup,6,4.9
10141,u6976,Spain,Dresses,Zara,20.89,2024-11-22,2024-11-23,Standard,7,5.0
10142,u4648,Germany,Jackets,Levi’s,23.27,2025-03-10,2025-04-01,Drop-off,5,5.0
10143,u3324,Netherlands,Jeans,Balenciaga,41.93,2025-01-10,2025-01-25,Pickup,6,4.8
10144,u6879,Poland,Sneakers,H&M,27.29,2025-03-11,2025-04-07,Pickup,3,5.0
10145,u1007,Netherlands,Dresses,Zara,58.1,2024-08-25,2024-09-04,Pickup,7,4.9
10146,u8167,Spain,Dresses,Adidas,45.05,2024-12-31,2025-01-09,Drop-off,8,4.2
10147,u9438,Lithuania,Jackets,Zara,22.47,2024-08-14,2024-09-12,Standard,7,4.7
10148,u1587,Netherlands,Bags,Nike,23.14,2024-08-05,2024-08-26,Drop-off,5,4.4
10149,u7416,Spain,Dresses,Adidas,22.84,2024-10-15,2024-10-31,Pickup,3,4.8
10150,u7344,Netherlands,Dresses,Zara,22.36,2024-07-09,2024-08-04,Standard,2,4.8
10151,u1948,Poland,Dresses,Gucci,27.02,2025-01-27,,Standard,3,4.6
10152,u4674,Germany,Bags,Gucci,21.42,2025-06-30,2025-07-14,Drop-off,4,4.0
10153,u2967,France,Sneakers,Gucci,32.94,2024-10-10,2024-10-17,Pickup,5,4.6
10154,u1933,Spain,Jackets,H&M,26.65,2024-11-15,2024-12-05,Standard,4,4.4
10155,u9259,Netherlands,Jeans,Zara,12.03,2024-05-06,2024-05-22,Standard,7,4.0
10156,u8851,France,Jackets,Levi’s,22.3,2024-02-04,,Standard,2,4.5
10157,u7581,Netherlands,Bags,Balenciaga,24.17,2025-02-09,2025-02-28,Pickup,4,4.1
10158,u6525,Netherlands,Jackets,Adidas,36.36,2024-06-10,2024-06-19,Standard,3,4.6
10159,u7716,Netherlands,Bags,Nike,27.07,2024-12-27,,Standard,8,4.6
10160,u2159,Lithuania,Dresses,H&M,25.35,2024-11-13,2024-12-05,Pickup,7,3.8
10161,u6823,Lithuania,Bags,Adidas,41.37,2024-01-01,2024-01-20,Standard,6,4.5
10162,u9365,Poland,Jackets,Balenciaga,32.17,2024-11-19,2024-11-23,Pickup,5,4.3
10163,u6889,Spain,Tops,Nike,47.64,2024-09-22,2024-10-11,Pickup,2,3.8
10164,u2628,Poland,Sneakers,Gucci,4.54,2024-11-06,2024-12-02,Standard,6,4.2
10165,u7563,Lithuania,Jackets,Balenciaga,46.77,2024-01-30,2024-02-01,Drop-off,5,4.6
10166,u2141,Netherlands,Dresses,Zara,50.96,2024-01-07,2024-01-31,Standard,2,5.0
10167,u8611,Germany,Dresses,Adidas,21.57,2024-05-05,2024-05-22,Pickup,6,4.4
10168,u7980,Poland,Sneakers,Adidas,28.47,2024-06-03,2024-06-14,Drop-off,1,4.7
10169,u7268,Spain,Bags,Nike,28.6,2024-03-27,2024-04-14,Standard,7,4.6
10170,u3352,Spain,Jeans,Levi’s,39.57,2024-12-19,2025-01-07,Pickup,2,4.7
10171,u9491,Lithuania,Dresses,Adidas,34.4,2025-04-27,2025-04-29,Drop-off,6,4.0
10172,u3567,Netherlands,Jackets,Zara,37.86,2024-03-04,2024-03-06,Drop-off,2,4.6
10173,u7538,Netherlands,Jackets,Zara,24.58,2025-06-07,,Drop-off,7,5.0
10174,u3454,Lithuania,Sneakers,Zara,50.44,2024-03-22,2024-04-06,Drop-off,5,4.2
10175,u3384,France,Tops,Adidas,13.47,2024-01-13,,Standard,3,4.2
10176,u5778,Lithuania,Bags,Nike,23.85,2024-07-22,,Drop-off,2,4.2
10177,u8537,Germany,Tops,Balenciaga,48.14,2025-07-02,2025-07-10,Standard,7,3.9
10178,u8427,Poland,Bags,Adidas,18.11,2024-07-06,2024-07-08,Standard,4,4.4
10179,u8913,Netherlands,Bags,H&M,36.71,2024-07-02,2024-07-30,Pickup,7,4.2
10180,u6789,Spain,Jackets,Levi’s,23.9,2024-10-07,2024-10-24,Drop-off,4,3.9
10181,u1159,Germany,Bags,Nike,42.65,2025-02-11,2025-02-15,Standard,7,4.7
10182,u8758,France,Tops,Nike,40.6,2024-10-20,,Pickup,6,4.9
10183,u5232,Lithuania,Jeans,H&M,42.88,2024-05-20,2024-05-26,Drop-off,5,4.6
10184,u7318,Spain,Jackets,Adidas,32.87,2025-06-06,,Drop-off,6,4.5
10185,u3587,France,Sneakers,Balenciaga,34.32,2024-08-14,2024-09-11,Drop-off,8,4.2
10186,u2772,Germany,Tops,Balenciaga,35.58,2024-11-21,2024-12-12,Pickup,4,4.3
10187,u5213,Poland,Jeans,Levi’s,41.11,2025-06-08,2025-07-02,Pickup,1,4.3
10188,u1674,France,Sneakers,Balenciaga,39.89,2025-06-19,2025-07-14,Pickup,7,4.4
10189,u6818,Poland,Tops,Nike,26.09,2025-05-15,2025-06-07,Pickup,8,4.0
10190,u7919,France,Tops,Levi’s,5.99,2024-07-13,2024-08-11,Pickup,4,4.2
10191,u6223,France,Jackets,H&M,38.06,2025-06-23,,Standard,2,4.5
10192,u1025,France,Jeans,Adidas,13.33,2025-03-31,2025-04-15,Drop-off,7,4.6
10193,u4313,Germany,Tops,Nike,13.66,2025-02-25,2025-03-12,Standard,10,4.4
10194,u1492,Lithuania,Dresses,Zara,3.0,2025-05-06,,Drop-off,7,4.7
10195,u1619,Lithuania,Jackets,Adidas,50.42,2024-09-01,,Pickup,5,4.1
10196,u6158,France,Sneakers,H&M,52.26,2024-03-26,2024-03-31,Pickup,4,4.6
10197,u3217,Netherlands,Jeans,Balenciaga,22.95,2024-06-03,2024-06-06,Standard,0,4.6
10198,u3787,France,Bags,Balenciaga,9.84,2024-12-24,2025-01-07,Standard,5,3.9
10199,u9345,Spain,Dresses,H&M,17.94,2024-07-11,2024-07-13,Standard,5,4.8
10200,u2132,Netherlands,Jeans,Levi’s,51.17,2024-03-24,2024-04-13,Standard,4,4.3
10201,u5570,Netherlands,Jeans,Balenciaga,28.37,2025-01-01,,Drop-off,7,4.9
10202,u1278,Spain,Jackets,Balenciaga,35.22,2025-05-23,2025-06-14,Pickup,3,4.3
10203,u5307,Lithuania,Sneakers,Gucci,40.19,2024-06-17,,Drop-off,5,4.0
10204,u5591,Lithuania,Bags,H&M,51.9,2024-09-28,2024-10-08,Pickup,1,3.8
10205,u9712,France,Sneakers,Nike,3.0,2025-03-11,2025-04-07,Standard,6,4.4
10206,u4854,Lithuania,Bags,Zara,23.73,2025-02-21,,Standard,3,4.9
10207,u4408,France,Dresses,Balenciaga,54.51,2025-04-18,2025-04-22,Pickup,2,3.6
10208,u5173,Germany,Tops,Gucci,30.81,2024-06-16,2024-06-17,Standard,6,5.0
10209,u2481,France,Dresses,Balenciaga,13.24,2025-01-10,,Standard,6,4.1
10210,u5559,Netherlands,Tops,Zara,29.18,2024-10-09,2024-10-15,Standard,5,4.4
10211,u4560,Lithuania,Bags,Levi’s,32.47,2024-03-24,2024-04-08,Drop-off,3,4.5
10212,u8196,Germany,Jeans,Zara,10.08,2025-06-01,2025-06-29,Pickup,4,4.5
10213,u8162,Lithuania,Jeans,Nike,3.79,2024-06-14,,Drop-off,3,4.4
10214,u3600,Poland,Dresses,H&M,16.71,2025-02-17,2025-03-11,Drop-off,6,4.5
10215,u3305,Spain,Dresses,Zara,27.99,2024-03-19,2024-04-07,Standard,5,4.1
10216,u1816,France,Dresses,Adidas,28.35,2024-08-24,2024-08-30,Pickup,1,4.7
10217,u3101,Germany,Sneakers,H&M,34.75,2025-01-01,2025-01-30,Drop-off,1,4.6
10218,u1859,France,Sneakers,Zara,48.29,2025-05-07,2025-05-24,Standard,3,4.9
10219,u7136,Poland,Jackets,Adidas,55.58,2024-11-09,2024-11-25,Pickup,5,4.4
10220,u2993,Poland,Tops,Balenciaga,32.32,2025-05-08,2025-05-17,Standard,7,5.0
10221,u9636,Germany,Sneakers,Adidas,20.91,2025-02-23,2025-03-06,Standard,7,5.0
10222,u5970,Poland,Dresses,H&M,33.78,2024-04-30,2024-05-06,Standard,2,4.3
10223,u3068,Germany,Sneakers,Levi’s,26.87,2024-03-09,2024-03-21,Drop-off,7,5.0
10224,u7121,France,Jeans,Nike,26.55,2024-04-18,2024-05-10,Standard,9,4.2
10225,u2647,Spain,Tops,Balenciaga,31.68,2024-10-15,2024-10-26,Pickup,4,5.0
10226,u8178,Poland,Bags,Balenciaga,18.95,2025-02-15,2025-02-26,Standard,7,4.2
10227,u5236,Poland,Tops,Nike,29.37,2024-11-12,2024-12-06,Pickup,9,5.0
10228,u8374,Spain,Jackets,Adidas,13.55,2024-01-25,2024-02-03,Standard,4,4.8
10229,u1717,Spain,Sneakers,Adidas,18.0,2025-06-25,2025-07-13,Drop-off,2,4.5
10230,u3565,Netherlands,Tops,H&M,32.32,2024-02-18,2024-02-20,Standard,6,5.0
10231,u6951,Lithuania,Bags,H&M,56.43,2024-05-01,2024-05-28,Pickup,3,4.4
10232,u8291,Germany,Jackets,Balenciaga,31.56,2024-07-19,2024-07-24,Standard,3,4.3
10233,u6330,Netherlands,Jackets,Adidas,23.35,2024-08-07,2024-09-02,Standard,7,4.3
10234,u4516,Spain,Sneakers,Gucci,50.54,2024-02-09,2024-02-11,Pickup,7,3.8
10235,u8485,France,Bags,Gucci,62.82,2024-08-09,2024-08-22,Standard,8,4.7
10236,u4940,Netherlands,Dresses,Zara,23.1,2025-06-17,2025-07-08,Drop-off,8,4.5
10237,u5172,Poland,Jeans,Nike,41.16,2025-07-03,2025-07-23,Drop-off,3,4.7
10238,u8002,Lithuania,Jackets,Levi’s,48.22,2025-05-22,2025-05-25,Pickup,3,4.3
10239,u7047,Lithuania,Jeans,Adidas,28.08,2024-05-04,2024-05-29,Standard,7,4.8
10240,u7838,Netherlands,Jackets,Balenciaga,39.38,2024-01-14,2024-01-25,Standard,7,4.9
10241,u3505,Poland,Sneakers,Zara,48.46,2025-02-09,2025-02-24,Standard,2,5.0
10242,u2135,France,Sneakers,Adidas,3.0,2025-06-15,,Drop-off,8,3.7
10243,u4882,Poland,Dresses,Levi’s,17.89,2024-12-05,,Pickup,6,4.4
10244,u6630,France,Sneakers,Adidas,34.33,2024-09-20,,Standard,2,4.5
10245,u6750,Netherlands,Tops,Zara,26.91,2024-03-11,2024-03-13,Drop-off,3,4.2
10246,u7628,Netherlands,Sneakers,Levi’s,4.47,2024-12-25,2025-01-02,Standard,3,4.3
10247,u9828,Spain,Dresses,Levi’s,42.77,2024-07-08,2024-07-14,Pickup,4,5.0
10248,u4216,France,Jeans,Zara,15.05,2024-08-13,2024-08-26,Standard,10,4.9
10249,u6201,Spain,Tops,Balenciaga,57.64,2025-03-19,2025-03-22,Pickup,7,4.7
10250,u2881,Poland,Bags,H&M,16.83,2024-07-09,2024-08-06,Standard,4,4.9
10251,u7855,Poland,Tops,Gucci,48.27,2025-01-21,,Standard,4,4.3
10252,u5820,Germany,Dresses,Balenciaga,52.41,2024-10-02,2024-10-19,Pickup,4,4.7
10253,u6850,Spain,Bags,Adidas,34.38,2024-08-16,2024-09-10,Standard,6,4.4
10254,u2117,Germany,Jackets,Adidas,32.12,2024-05-22,,Pickup,9,3.6
10255,u4871,Netherlands,Tops,Levi’s,33.74,2024-03-12,,Standard,3,4.1
10256,u7416,France,Jeans,Levi’s,33.03,2025-01-24,2025-01-30,Standard,4,4.6
10257,u7999,France,Jackets,Adidas,48.13,2024-01-06,2024-01-12,Pickup,7,5.0
10258,u4176,Netherlands,Dresses,Gucci,20.04,2024-07-28,,Standard,4,4.9
10259,u1183,Netherlands,Bags,Levi’s,31.28,2024-09-06,2024-09-28,Pickup,5,3.3
10260,u4354,France,Sneakers,H&M,24.08,2024-06-10,,Pickup,6,4.7
10261,u8545,Spain,Tops,H&M,33.44,2024-10-20,2024-11-15,Pickup,5,5.0
10262,u8279,Netherlands,Dresses,Adidas,58.64,2024-08-29,2024-09-18,Standard,3,4.8
10263,u2716,Spain,Sneakers,Levi’s,8.63,2025-05-28,2025-06-25,Drop-off,3,4.7
10264,u1890,Spain,Jackets,Gucci,50.52,2025-05-09,2025-05-29,Standard,5,4.4
10265,u7837,Germany,Jackets,Balenciaga,28.6,2024-07-26,2024-08-10,Standard,2,5.0
10266,u5591,Poland,Jackets,Gucci,10.65,2024-03-12,,Pickup,4,4.6
10267,u8984,France,Jeans,Nike,27.36,2025-01-24,2025-02-11,Pickup,6,4.7
10268,u2003,Lithuania,Tops,Adidas,40.72,2024-05-01,,Standard,8,3.7
10269,u4907,Lithuania,Dresses,Gucci,23.43,2024-08-24,2024-08-27,Pickup,5,4.3
10270,u3418,Germany,Jackets,Zara,22.47,2024-08-17,2024-08-22,Standard,7,4.4
10271,u4075,Spain,Bags,Nike,29.15,2025-04-01,2025-04-21,Pickup,2,5.0
10272,u4722,Lithuania,Tops,H&M,13.21,2025-02-19,2025-02-25,Drop-off,5,4.2
10273,u8483,Netherlands,Bags,Zara,3.46,2024-03-23,,Standard,4,4.3
10274,u3415,France,Jeans,Gucci,44.14,2025-01-09,,Standard,4,4.9
10275,u7548,Poland,Jackets,Balenciaga,24.4,2024-09-14,,Pickup,3,4.3
10276,u2012,Lithuania,Jeans,Gucci,19.63,2024-08-26,2024-09-07,Standard,1,4.9
10277,u5922,Lithuania,Sneakers,Balenciaga,37.1,2024-01-12,2024-01-23,Standard,3,4.4
10278,u1089,Netherlands,Dresses,Gucci,42.63,2025-02-03,2025-02-10,Standard,7,4.4
10279,u7308,Lithuania,Dresses,Levi’s,23.11,2024-06-12,2024-06-28,Pickup,1,4.2
10280,u1044,Lithuania,Jeans,Levi’s,10.59,2025-01-01,2025-01-08,Drop-off,7,4.0
10281,u7781,Lithuania,Jackets,Gucci,12.05,2024-05-14,2024-05-24,Pickup,9,4.9
10282,u6983,Poland,Jackets,Balenciaga,43.92,2024-12-06,,Pickup,4,4.7
10283,u5654,Netherlands,Jackets,Nike,36.9,2024-04-17,2024-04-28,Pickup,9,5.0
10284,u5873,Netherlands,Jeans,Zara,50.56,2024-10-29,2024-11-14,Standard,4,4.8
10285,u6593,France,Jeans,H&M,23.73,2024-07-19,2024-08-13,Pickup,11,3.7
